method,family,run,final_best_q,final_simple_regret,final_normalized_regret,final_best_rank_percentile,final_hit_top1pct,final_hit_top0_1pct,final_success_fraction,first_final_best_iteration,first_final_best_n_experiments,experiments_to_90pct_oracle,iteration_to_90pct_oracle,auc_normalized_best,total_fit_seconds,total_acq_seconds,total_seconds,last_surrogate_rmse_raw,last_surrogate_mae_raw,last_surrogate_spearman_raw,last_surrogate_crps,last_surrogate_nll,last_surrogate_coverage95,pool_oracle_best_q,full_grid_best_q
GP_Matern52_PI,Acquisition Ablation,0,220567.0,26540.0,0.10740286596494636,99.99970497471634,1.0,1.0,0.7533333333333333,21.0,87.0,,,0.7103550940127807,4.824161086991808,0.8117717530003574,5.635932839992165,5089.448692851722,941.1961782252869,0.41700762941266434,1.4637612765550967,2.6121499332749543,0.974,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,1,168524.0,78583.0,0.31801203527216954,99.99634496454124,1.0,1.0,0.5866666666666667,22.0,91.0,,,0.4070850585680195,3.631827124998381,0.7313697889912874,4.363196913989668,5317.182518841525,855.0498586735331,0.3856673460476094,0.923085559935936,2.213240205794933,0.952,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,2,204212.0,42895.0,0.1735887692376177,99.99870516681058,1.0,1.0,0.66,14.0,59.0,,,0.7368809156860486,4.436984292009583,0.7930988299958699,5.230083122005453,4331.500694238659,777.4689805946321,0.4076054321247337,1.2546891045496977,2.6498816165127437,0.954,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,3,220440.0,26667.0,0.10791681336425112,99.99965580383572,1.0,1.0,0.82,29.0,119.0,,,0.5003555194767908,7.540244793999591,0.8102478289911232,8.350492622990714,8892.55564929765,1905.622873638896,0.34316961922740324,2.5833503815716505,2.9657441393727675,0.9814,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,4,78541.0,168566.0,0.6821579315842935,99.76845432320216,1.0,0.0,0.5266666666666666,36.0,147.0,,,0.08622071913480088,3.5398244590178365,0.662344333006331,4.2021687920241675,8283.66797921116,1391.4298837085998,0.3392169012197568,1.0345085796736355,2.41048986134565,0.922,247107.0,247107.0
GP_Matern52_PI_GATE_3T1S,Imperfection-aware,0,159977.0,87130.0,0.35260029056238795,99.99555823045146,1.0,1.0,0.6466666666666666,25.0,103.0,,,0.5414352727601642,4.975538208000216,0.6986811679889797,5.674219375989196,6281.948631803979,1049.2718578125946,0.3884042914606115,1.304273149860032,2.5692924125533114,0.9802,247107.0,247107.0
GP_Matern52_PI_GATE_3T1S,Imperfection-aware,1,219207.0,27900.0,0.1129065546504146,99.99955746207449,1.0,1.0,0.5933333333333334,25.0,103.0,,,0.5148887247553007,5.583220459993754,0.7258253750042059,6.30904583499796,6565.156500921215,1184.6737348357801,0.20612273379514956,1.9729960437982754,2.7702090157192507,0.9876,247107.0,247107.0
GP_Matern52_PI_GATE_3T1S,Imperfection-aware,2,153445.0,93662.0,0.3790341835722986,99.99329636994335,1.0,1.0,0.6733333333333333,18.0,75.0,,,0.47535349332748844,4.574824667004577,0.7785897470093914,5.353414414013969,5544.957067540282,884.2650474127275,0.38650809048389523,1.3013263036526252,2.6194285227560608,0.9542,247107.0,247107.0
GP_Matern52_PI_GATE_3T1S,Imperfection-aware,3,144548.0,102559.0,0.415038829333042,99.98988718888764,1.0,1.0,0.6466666666666666,20.0,83.0,,,0.41530274826782004,4.971937248999893,0.7477574200020172,5.71969466900191,6449.520555254279,1099.065278043802,0.3721769637843456,1.5296269292054288,2.7121400530979938,0.9616,247107.0,247107.0
GP_Matern52_PI_GATE_3T1S,Imperfection-aware,4,64529.0,182578.0,0.7388621123642795,99.63864319838876,1.0,0.0,0.6866666666666666,25.0,103.0,,,0.2050393641708335,4.6216565879985865,0.717847999992955,5.3395045879915415,8245.134994273905,1366.4118953305665,0.31678501258477987,1.6622247382505433,2.752563656608495,0.9816,247107.0,247107.0
