method,family,run,iteration,configured_batch_size,configured_budget,configured_exploration,n_experiments,batch_size_added,best_q,best_pool_idx,simple_regret,normalized_regret,best_rank_percentile,hit_top1pct,hit_top0_1pct,success_fraction_selected,mean_q_selected,last_batch_best_q,mean_pairwise_batch_distance,fit_seconds,acq_seconds,cum_seconds,status,pool_oracle_best_q,full_grid_best_q,surrogate_rmse_raw,surrogate_mae_raw,surrogate_spearman_raw,surrogate_crps,surrogate_nll,surrogate_coverage95,surrogate_mean_sd,n_acq_candidates,n_trustworthy_candidates,n_suspicious_candidates,selected_trustworthy,selected_suspicious,requested_trustworthy,requested_suspicious,gate_fallback,fallback_slots,selected_suspicious_fraction
GP_Matern52_PI,Acquisition Ablation,0,0,6,150,1,3,3,0.0,2370341,247107.0,1.0,93.70319341923158,0.0,0.0,0.0,0.0,0.0,1.0123451313576954,0.0,0.0,0.0,initial,247107.0,247107.0,,,,,,,,0,,,0,3,,,False,,1.0
GP_Matern52_PI,Acquisition Ablation,0,1,6,150,1,9,6,45710.0,1041565,201397.0,0.8150194045494462,99.1430826732962,1.0,0.0,0.1111111111111111,5078.888888888889,45710.0,1.0009406047310325,0.00010937499973806553,0.010375875001045642,0.010485250000783708,constant_target_fallback,247107.0,247107.0,8794.15225607335,1574.217,0.0,0.8138185086950146,3.9690805000534337,0.9332,1.0,15000,3347.0,11653.0,3,3,,,False,,0.5
GP_Matern52_PI,Acquisition Ablation,0,2,6,150,1,15,6,65281.0,871546,181826.0,0.7358188962676088,99.64885435126234,1.0,0.0,0.4666666666666667,17630.2,65281.0,0.388149320821309,0.016405500002292683,0.01197933399816975,0.03887008400124614,ok,247107.0,247107.0,8728.108876900005,1903.331496547087,0.1579930569013381,1.4191156061610297,3.573096794321327,0.8996,2.5460063851237638,15000,3433.0,11567.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,3,6,150,1,21,6,83549.0,700474,163558.0,0.6618914073660398,99.79998924796743,1.0,0.0,0.6190476190476191,22305.380952380954,83549.0,0.5256784841437644,0.016628083001705818,0.012863334002759075,0.06836150100571103,ok,247107.0,247107.0,8816.28793054138,1654.9940834287383,0.4098963835047654,1.108210542021769,2.6061493001082088,0.9264,2.2717869143573832,15000,3264.0,11736.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,4,6,150,1,27,6,147145.0,612823,99962.0,0.4045292120417471,99.9913295347189,1.0,1.0,0.7037037037037037,41477.03703703704,147145.0,0.33909465401167377,0.016156917001353577,0.015097542000148678,0.09961596000721329,ok,247107.0,247107.0,7485.153854156447,1409.7146725393925,0.41493140654747085,1.4622560550697854,2.6053802152188257,0.9644,3.4387261742197834,15000,3330.0,11670.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,5,6,150,1,33,6,147145.0,612823,99962.0,0.4045292120417471,99.9913295347189,1.0,1.0,0.7272727272727273,44303.181818181816,99179.0,0.5955131972289176,0.022611332999076694,0.023174375000962755,0.14540166800725274,ok,247107.0,247107.0,7024.700700227774,1310.7855720037974,0.40700113761990797,1.404241649790264,2.6465295475165935,0.9654,3.452270281756705,15000,3261.0,11739.0,5,1,,,False,,0.16666666666666666
GP_Matern52_PI,Acquisition Ablation,0,6,6,150,1,39,6,147145.0,612823,99962.0,0.4045292120417471,99.9913295347189,1.0,1.0,0.7692307692307693,43445.4358974359,43497.0,0.2359639796318133,0.053133792000153335,0.02024008299849811,0.21877554300590418,ok,247107.0,247107.0,5864.499545333065,1065.6503067566448,0.42051061493315733,1.585747223429887,2.7215682619079664,0.9354,3.486865946130079,15000,3387.0,11613.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,7,6,150,1,45,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.8,52937.75555555556,201133.0,0.2313708849531445,0.03823775000273599,0.019008333998499438,0.2760216270071396,ok,247107.0,247107.0,5741.692489342008,1080.2198768267888,0.4183668371358357,1.253062795013639,2.827936095022065,0.9108,2.616948480554768,15000,3289.0,11711.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,8,6,150,1,51,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7843137254901961,54908.05882352941,198589.0,1.008065102088638,0.04003812500013737,0.02097091699761222,0.3370306690048892,ok,247107.0,247107.0,5540.256013279713,1074.0849718384736,0.4171768813499447,1.606453322394377,2.9770294935579393,0.9114,3.335653685676797,15000,3463.0,11537.0,4,2,,,False,,0.3333333333333333
GP_Matern52_PI,Acquisition Ablation,0,9,6,150,1,57,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.8070175438596491,53302.05263157895,117676.0,0.6267866740140372,0.05459187499945983,0.019376624997676117,0.41099916900202516,ok,247107.0,247107.0,5295.218917543509,1001.4317900357946,0.4196177946883919,1.432793889434011,3.0565632442082022,0.9054,3.047008617967862,15000,3310.0,11690.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,10,6,150,1,63,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.8253968253968254,49946.619047619046,34392.0,0.5687444356019848,0.04405633300120826,0.02216791600221768,0.4772234180054511,ok,247107.0,247107.0,5274.734999524556,962.4298190619224,0.4227355300066351,1.4174713874891425,2.846845262733283,0.9122,3.0830289132300415,15000,3321.0,11679.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,11,6,150,1,69,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7536231884057971,45603.434782608696,0.0,0.5140270211098501,0.051855499998055166,0.024259958001493942,0.5533388760050002,ok,247107.0,247107.0,5251.358733266037,997.471532135042,0.4204517472401436,1.4979607434868234,3.0047139646417804,0.8914,3.0198916166450522,15000,3295.0,11705.0,0,6,,,False,,1.0
GP_Matern52_PI,Acquisition Ablation,0,12,6,150,1,75,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7733333333333333,48756.85333333333,111700.0,0.20571719570022365,0.05944825000187848,0.0259345000013127,0.6387216260081914,ok,247107.0,247107.0,5056.301931484146,996.090418826241,0.4245540087457912,1.4589289611480196,3.5672561593132954,0.8536,2.2411083661211713,15000,3411.0,11589.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,13,6,150,1,81,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7901234567901234,48887.07407407407,107112.0,0.44392395925297373,0.09439554200071143,0.023881667002569884,0.7569988350114727,ok,247107.0,247107.0,4873.589163657438,915.6046839241799,0.4254244436204433,1.6428563043227067,2.9316246685446585,0.9048,3.0976303991529623,15000,3412.0,11588.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,14,6,150,1,87,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.8045977011494253,52656.0,138679.0,0.36025914970378636,0.11453220900148153,0.026457083000423154,0.8979881270133774,ok,247107.0,247107.0,4742.686152353488,900.57312144383,0.42487346854723984,1.4320581659242957,3.925674191182749,0.8476,2.1702802483011157,15000,3300.0,11700.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,15,6,150,1,93,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.8172043010752689,57554.07526881721,199081.0,0.1763836070073176,0.12032245799855446,0.02611208300004364,1.0444226680119755,ok,247107.0,247107.0,4767.440253795146,904.5972190983013,0.4248415442826974,1.4525403570404196,3.9865818532831123,0.8468,2.222257376711105,15000,3296.0,11704.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,16,6,150,1,99,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7777777777777778,55068.979797979795,99300.0,0.7765227607406635,0.11011866700209794,0.026879209002800053,1.1814205440168735,ok,247107.0,247107.0,4805.540460703843,891.2709298547807,0.42476097096894205,1.4546315201079258,3.7961890494878374,0.8598,2.3927100029144124,15000,3340.0,11660.0,1,5,,,False,,0.8333333333333334
GP_Matern52_PI,Acquisition Ablation,0,17,6,150,1,105,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7714285714285715,54829.114285714284,120933.0,0.7023260521044072,0.08940095800062409,0.028944124998815823,1.2997656270163134,ok,247107.0,247107.0,4808.096986510319,901.1336217936444,0.4248631595141849,1.4407571192602577,4.026445388145788,0.8442,2.1301615645135383,15000,3329.0,11671.0,4,2,,,False,,0.3333333333333333
GP_Matern52_PI,Acquisition Ablation,0,18,6,150,1,111,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7567567567567568,54848.10810810811,136648.0,0.7906726338797357,0.09518033299900708,0.02877749999970547,1.423723460015026,ok,247107.0,247107.0,4362.795327723632,792.4977798885906,0.4277158798613416,1.4464646610398362,3.076689948356604,0.8832,2.773017164538118,15000,3262.0,11738.0,3,3,,,False,,0.5
GP_Matern52_PI,Acquisition Ablation,0,19,6,150,1,117,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7692307692307693,56697.10256410256,116005.0,0.30886632020361066,0.12923520800177357,0.028868250003142748,1.5818269180199422,ok,247107.0,247107.0,4340.036958145009,768.3302532738975,0.42823165857900697,1.3391049390122298,3.035452744755457,0.884,2.658502469319939,15000,3356.0,11644.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,20,6,150,1,123,6,201133.0,690960,45974.0,0.18604895854832118,99.99852487358166,1.0,1.0,0.7723577235772358,57444.10569105691,181653.0,0.600542736591473,0.07784266700036824,0.03213599999799044,1.691805585018301,ok,247107.0,247107.0,4338.155171071842,759.1655173983451,0.42836011157969894,1.3333051285876854,3.07136622363967,0.8884,2.6975840469867123,15000,3345.0,11655.0,5,1,,,False,,0.16666666666666666
GP_Matern52_PI,Acquisition Ablation,0,21,6,150,1,129,6,221213.0,604002,25894.0,0.10478861383934894,99.99978692618402,1.0,1.0,0.7751937984496124,61291.798449612405,221213.0,0.358040451048777,0.1359939169997233,0.035127791998093016,1.8629272940161172,ok,247107.0,247107.0,4256.387695156998,765.1953066904466,0.4281054121851837,1.3551258784799722,3.3098491437058213,0.8734,2.541930587399108,15000,3305.0,11695.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,22,6,150,1,135,6,221213.0,604002,25894.0,0.10478861383934894,99.99978692618402,1.0,1.0,0.7851851851851852,61433.311111111114,201550.0,0.4696119540036951,0.24846033299763803,0.03530979200149886,2.146697419015254,ok,247107.0,247107.0,4956.903750692233,912.7695038997948,0.42234741651681335,1.5913857429672618,2.8819877755214076,0.912,3.536585204043955,15000,3365.0,11635.0,6,0,,,False,,0.0
GP_Matern52_PI,Acquisition Ablation,0,23,6,150,1,141,6,221213.0,604002,25894.0,0.10478861383934894,99.99978692618402,1.0,1.0,0.7872340425531915,59828.75177304965,106826.0,0.5675715384516674,0.25062174999766285,0.04058587499821442,2.4379050440111314,ok,247107.0,247107.0,4847.84806696828,896.3533478814838,0.42245005079753106,1.5781444913425964,2.889817532933643,0.9108,3.5139807995874826,15000,3355.0,11645.0,4,2,,,False,,0.3333333333333333
