method,family,run,final_best_q,final_simple_regret,final_normalized_regret,final_best_rank_percentile,final_hit_top1pct,final_hit_top0_1pct,final_success_fraction,first_final_best_iteration,first_final_best_n_experiments,experiments_to_90pct_oracle,iteration_to_90pct_oracle,auc_normalized_best,total_fit_seconds,total_acq_seconds,total_seconds,last_surrogate_rmse_raw,last_surrogate_mae_raw,last_surrogate_spearman_raw,last_surrogate_crps,last_surrogate_nll,last_surrogate_coverage95,pool_oracle_best_q,full_grid_best_q
GP_Matern52_PI,Acquisition Ablation,0,159714.0,87393.0,0.35366460683023954,99.99541071780963,1.0,1.0,0.6666666666666666,47.0,144.0,,,0.33998863418912223,5.6412975389903295,1.1104455440145102,6.75174308300484,6435.442453796631,1080.8126473906102,0.402790157472223,1.0432718912397807,2.7666723104983846,0.9288,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,1,150817.0,96290.0,0.38966925259098284,99.99224739115698,1.0,1.0,0.5866666666666667,25.0,78.0,,,0.49834682868521873,6.5044120410166215,1.078851669008145,7.583263710024767,6114.283329756111,1010.0600623734994,0.2528373026796633,1.7615905513442631,2.8325104385235798,0.9794,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,2,217713.0,29394.0,0.1189525185445981,99.9994263397262,1.0,1.0,0.5666666666666667,18.0,57.0,,,0.6926824560755843,8.36906087899115,1.209935413000494,9.578996291991643,5118.499436754973,838.4595517150972,0.3806549233338286,1.0490854201864428,2.4485549973472835,0.9514,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,3,222233.0,24874.0,0.10066084732524777,99.99983609706463,1.0,1.0,0.68,48.0,147.0,,,0.7676408129569253,6.306291540986422,1.127044211003522,7.433335751989944,5912.893448716553,1085.4249231689296,0.41911400026274465,1.1880524395483154,2.5826989283527,0.916,247107.0,247107.0
GP_Matern52_PI,Acquisition Ablation,4,186121.0,60986.0,0.24679996924409264,99.9976561880242,1.0,1.0,0.7,25.0,78.0,,,0.5558740025286905,7.657939295007964,1.1871757039953081,8.845114999003272,5307.978187044087,945.5353519820321,0.37123957836162164,1.6688461034657862,2.7803645620384296,0.966,247107.0,247107.0
GP_Matern52_PI_GATE_2T1S,Imperfection-aware,0,155545.0,91562.0,0.37053584074914914,99.99391920109775,1.0,1.0,0.66,8.0,27.0,,,0.5860021557215196,7.708785083992552,1.2225520419851819,8.931337125977734,6304.733370668527,1049.2177337140743,0.41502027515478995,0.9371283302323616,2.499603722426505,0.9312,247107.0,247107.0
GP_Matern52_PI_GATE_2T1S,Imperfection-aware,1,151318.0,95789.0,0.38764179080317435,99.99249324556003,1.0,1.0,0.6333333333333333,35.0,108.0,,,0.45214049635442566,7.765163291987847,1.1434767890168587,8.908640081004705,6434.4509342226165,1282.5699090184128,0.19731180075274793,2.729321435374647,3.000045388223149,0.9934,247107.0,247107.0
GP_Matern52_PI_GATE_2T1S,Imperfection-aware,2,218787.0,28320.0,0.11460622321504449,99.99952468148743,1.0,1.0,0.5866666666666667,18.0,57.0,,,0.6722351459249704,7.1649192920012865,1.1537274090187566,8.318646701020043,6097.834179143629,999.9420456023324,0.4225546848695071,1.2261504841514674,2.463663673537041,0.984,247107.0,247107.0
GP_Matern52_PI_GATE_2T1S,Imperfection-aware,3,57722.0,189385.0,0.7664088836010311,99.52504207388351,1.0,0.0,0.66,30.0,93.0,,,0.21864179633659483,9.346987543991418,1.1498557879967848,10.496843331988202,7460.503181364348,1326.8403558368257,0.12637392023958247,1.9487290411209677,2.8303415395407066,0.9878,247107.0,247107.0
GP_Matern52_PI_GATE_2T1S,Imperfection-aware,4,149913.0,97194.0,0.3933275868348529,99.99193597557976,1.0,1.0,0.5733333333333334,41.0,126.0,,,0.338137292091016,9.7545970800129,1.1366396699995676,10.891236750012467,7530.251807961605,1236.0323167322417,0.31479685014741293,1.4535095600626395,2.5472635580016765,0.9806,247107.0,247107.0
