method,policy,family,run,iteration,configured_batch_size,configured_budget,configured_exploration,n_experiments,batch_size_added,best_q,best_pool_idx,simple_regret,normalized_regret,best_rank_percentile,hit_top1pct,hit_top0_1pct,success_fraction_selected,mean_q_selected,last_batch_best_q,mean_pairwise_batch_distance,fit_seconds,acq_seconds,cum_seconds,status,pool_oracle_best_q,full_grid_best_q,surrogate_rmse_raw,surrogate_mae_raw,surrogate_spearman_raw,surrogate_crps,surrogate_nll,surrogate_coverage95,surrogate_mean_sd,n_acq_candidates,n_trustworthy_candidates,n_suspicious_candidates,selected_trustworthy,selected_suspicious,requested_trustworthy,requested_suspicious,gate_fallback,fallback_slots,selected_suspicious_fraction
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,0,5,150,0,3,3,0.0,2370341,247107.0,1.0,93.70319341923158,0.0,0.0,0.0,0.0,0.0,1.0123451313576954,0.0,0.0,0.0,initial,247107.0,247107.0,,,,,,,,0,,,0,3,,,False,,1.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,1,5,150,0,8,5,45710.0,1041565,201397.0,0.8150194045494462,99.1430826732962,1.0,0.0,0.125,5713.75,45710.0,1.0244301206542628,0.00010150000161956996,0.01033958300104132,0.01044108300266089,constant_target_fallback,247107.0,247107.0,8794.15225607335,1574.217,0.0,0.8138185086950146,3.9690805000534337,0.9332,1.0,15000,3347.0,11653.0,2,3,,,False,,0.6
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,2,5,150,0,13,5,65281.0,871546,181826.0,0.7358188962676088,99.64885435126234,1.0,0.0,0.46153846153846156,20813.923076923078,65281.0,0.37172356385225963,0.016538583000510698,0.009812750002311077,0.036792416005482664,ok,247107.0,247107.0,10510.737809834724,3285.5524311535796,0.3481575328432913,1.819807348767927,4.898176703900038,0.8036,1.6373739811896089,15000,3369.0,11631.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,3,5,150,0,18,5,113242.0,793496,133865.0,0.5417288866766219,99.95487752189251,1.0,1.0,0.5555555555555556,38858.61111111111,113242.0,0.3678003354209559,0.01402258400048595,0.009421416001714533,0.06023641600768315,ok,247107.0,247107.0,11378.34667450104,3453.1332765560733,0.3491229692638747,1.9469794125624444,5.943549157447333,0.787,1.679675190887379,15000,3358.0,11642.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,4,5,150,0,23,5,145900.0,785458,101207.0,0.4095675152869,99.99087060649987,1.0,1.0,0.6521739130434783,45783.95652173913,145900.0,0.32184084827134146,0.015277791000698926,0.013367792002100032,0.0888819990104821,ok,247107.0,247107.0,9351.157120148597,1755.1105592312813,0.4087717577444689,1.317149692698487,2.970586400818029,0.922,2.8731669935096975,15000,3346.0,11654.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,5,5,150,0,28,5,145900.0,785458,101207.0,0.4095675152869,99.99087060649987,1.0,1.0,0.6071428571428571,42111.42857142857,122848.0,0.2110686069791011,0.023139125001762295,0.02010554200023762,0.13212666601248202,ok,247107.0,247107.0,7608.198743547178,1431.5945569719604,0.41368722719080264,1.3171106810854225,2.749628713774699,0.9408,3.007351984789099,15000,3342.0,11658.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,6,5,150,0,33,5,146467.0,871632,100640.0,0.40727296272464963,99.99111646090292,1.0,1.0,0.6666666666666666,47944.606060606064,146467.0,0.5564253228016838,0.027787415998318465,0.013837999998941086,0.17375208200974157,ok,247107.0,247107.0,11063.082379778789,1745.7378011413566,0.40810536391191027,2.9061961563909144,3.0338102601020087,0.9978,6.129760284770471,15000,3397.0,11603.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,7,5,150,0,38,5,146467.0,871632,100640.0,0.40727296272464963,99.99111646090292,1.0,1.0,0.7105263157894737,51124.36842105263,91448.0,0.4092311028282813,0.05313920799744665,0.028954124998563202,0.2558454150057514,ok,247107.0,247107.0,12863.59593934792,2812.9789957343983,0.18133253727348161,3.073293201404408,4.292466906054027,0.9626,5.301935906019014,15000,3272.0,11728.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,8,5,150,0,43,5,146467.0,871632,100640.0,0.40727296272464963,99.99111646090292,1.0,1.0,0.7441860465116279,54731.6976744186,105567.0,0.5240699984317632,0.03470129199922667,0.018705874997976935,0.309252582002955,ok,247107.0,247107.0,6207.1777686159985,1361.826468741335,0.41051917356118434,2.6791145581736173,3.042073586670481,0.993,7.069331044301888,15000,3411.0,11589.0,5,0,,,False,,0.0
GP_Matern52_PI,gp_m52_pi,Acquisition Ablation,0,9,5,150,0,48,5,146467.0,871632,100640.0,0.40727296272464963,99.99111646090292,1.0,1.0,0.6875,51302.8125,109072.0,0.4559404517118101,0.06628429099873756,0.018146292000892572,0.39368316500258516,ok,247107.0,247107.0,10800.792104966253,2915.213807253994,0.18515868733486054,3.19844688261779,4.516230639907939,0.9588,5.512060132864943,15000,3363.0,11637.0,2,3,,,False,,0.6
