$ /opt/anaconda3/envs/actmof/bin/python /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/my_scripts/lucien/2026-08-19/experiment_a/run_experiment_a.py --n-rounds 5 --budget 150 --batch-size 5 --exploration 0 --policy gp_m52_pi --results-base-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a

[CONFIG] runs=5 batch_size=5 budget=150 exploration_slots=0 policy=gp_m52_pi method=GP_Matern52_PI
[PASS] Gate metadata feature order matches all 6,101,172 benchmark pool rows.
[OUTPUT] Writing run outputs to /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/gp_m52_pi/n_rounds_5/budget_150/batch_size_5/exploration_0
[GP_Matern52_PI run 0] iter=01 n=8 best_q=45710
[GP_Matern52_PI run 0] iter=02 n=13 best_q=65281
[GP_Matern52_PI run 0] iter=03 n=18 best_q=113242
[GP_Matern52_PI run 0] iter=04 n=23 best_q=145900
[GP_Matern52_PI run 0] iter=05 n=28 best_q=145900
[GP_Matern52_PI run 0] iter=06 n=33 best_q=146467
[GP_Matern52_PI run 0] iter=07 n=38 best_q=146467
[GP_Matern52_PI run 0] iter=08 n=43 best_q=146467
[GP_Matern52_PI run 0] iter=09 n=48 best_q=146467
[GP_Matern52_PI run 0] iter=10 n=53 best_q=146467
[GP_Matern52_PI run 0] iter=11 n=58 best_q=146467
[GP_Matern52_PI run 0] iter=12 n=63 best_q=146467
[GP_Matern52_PI run 0] iter=13 n=68 best_q=146467
[GP_Matern52_PI run 0] iter=14 n=73 best_q=146467
[GP_Matern52_PI run 0] iter=15 n=78 best_q=146467
[GP_Matern52_PI run 0] iter=16 n=83 best_q=146467
[GP_Matern52_PI run 0] iter=17 n=88 best_q=146467
[GP_Matern52_PI run 0] iter=18 n=93 best_q=146467
[GP_Matern52_PI run 0] iter=19 n=98 best_q=146467
[GP_Matern52_PI run 0] iter=20 n=103 best_q=146467
[GP_Matern52_PI run 0] iter=21 n=108 best_q=146467
[GP_Matern52_PI run 0] iter=22 n=113 best_q=146467
[GP_Matern52_PI run 0] iter=23 n=118 best_q=218507
[GP_Matern52_PI run 0] iter=24 n=123 best_q=218507
[GP_Matern52_PI run 0] iter=25 n=128 best_q=218507
[GP_Matern52_PI run 0] iter=26 n=133 best_q=218507
[GP_Matern52_PI run 0] iter=27 n=138 best_q=218507
[GP_Matern52_PI run 0] iter=28 n=143 best_q=218507
[GP_Matern52_PI run 0] iter=29 n=148 best_q=218507
[GP_Matern52_PI run 0] iter=30 n=150 best_q=218507
[GP_Matern52_PI run 1] iter=01 n=8 best_q=0
[GP_Matern52_PI run 1] iter=02 n=13 best_q=0
[GP_Matern52_PI run 1] iter=03 n=18 best_q=0
[GP_Matern52_PI run 1] iter=04 n=23 best_q=1270
[GP_Matern52_PI run 1] iter=05 n=28 best_q=1270
[GP_Matern52_PI run 1] iter=06 n=33 best_q=11920
[GP_Matern52_PI run 1] iter=07 n=38 best_q=11920
[GP_Matern52_PI run 1] iter=08 n=43 best_q=12944
[GP_Matern52_PI run 1] iter=09 n=48 best_q=19435
[GP_Matern52_PI run 1] iter=10 n=53 best_q=26671
[GP_Matern52_PI run 1] iter=11 n=58 best_q=26671
[GP_Matern52_PI run 1] iter=12 n=63 best_q=50500
[GP_Matern52_PI run 1] iter=13 n=68 best_q=50500
[GP_Matern52_PI run 1] iter=14 n=73 best_q=71327
[GP_Matern52_PI run 1] iter=15 n=78 best_q=71327
[GP_Matern52_PI run 1] iter=16 n=83 best_q=71327
[GP_Matern52_PI run 1] iter=17 n=88 best_q=71327
[GP_Matern52_PI run 1] iter=18 n=93 best_q=71327
[GP_Matern52_PI run 1] iter=19 n=98 best_q=71327
[GP_Matern52_PI run 1] iter=20 n=103 best_q=71327
[GP_Matern52_PI run 1] iter=21 n=108 best_q=81410
[GP_Matern52_PI run 1] iter=22 n=113 best_q=81410
[GP_Matern52_PI run 1] iter=23 n=118 best_q=81410
[GP_Matern52_PI run 1] iter=24 n=123 best_q=81410
[GP_Matern52_PI run 1] iter=25 n=128 best_q=81410
[GP_Matern52_PI run 1] iter=26 n=133 best_q=81410
[GP_Matern52_PI run 1] iter=27 n=138 best_q=81410
[GP_Matern52_PI run 1] iter=28 n=143 best_q=145018
[GP_Matern52_PI run 1] iter=29 n=148 best_q=150909
[GP_Matern52_PI run 1] iter=30 n=150 best_q=150909
[GP_Matern52_PI run 2] iter=01 n=8 best_q=17589
[GP_Matern52_PI run 2] iter=02 n=13 best_q=17589
[GP_Matern52_PI run 2] iter=03 n=18 best_q=65510
[GP_Matern52_PI run 2] iter=04 n=23 best_q=65510
[GP_Matern52_PI run 2] iter=05 n=28 best_q=65510
[GP_Matern52_PI run 2] iter=06 n=33 best_q=113396
[GP_Matern52_PI run 2] iter=07 n=38 best_q=113396
[GP_Matern52_PI run 2] iter=08 n=43 best_q=113396
[GP_Matern52_PI run 2] iter=09 n=48 best_q=113396
[GP_Matern52_PI run 2] iter=10 n=53 best_q=113396
[GP_Matern52_PI run 2] iter=11 n=58 best_q=120556
[GP_Matern52_PI run 2] iter=12 n=63 best_q=120556
[GP_Matern52_PI run 2] iter=13 n=68 best_q=120556
[GP_Matern52_PI run 2] iter=14 n=73 best_q=120556
[GP_Matern52_PI run 2] iter=15 n=78 best_q=120556
[GP_Matern52_PI run 2] iter=16 n=83 best_q=151964
[GP_Matern52_PI run 2] iter=17 n=88 best_q=151964
[GP_Matern52_PI run 2] iter=18 n=93 best_q=151964
[GP_Matern52_PI run 2] iter=19 n=98 best_q=151964
[GP_Matern52_PI run 2] iter=20 n=103 best_q=151964
[GP_Matern52_PI run 2] iter=21 n=108 best_q=151964
[GP_Matern52_PI run 2] iter=22 n=113 best_q=151964
[GP_Matern52_PI run 2] iter=23 n=118 best_q=151964
[GP_Matern52_PI run 2] iter=24 n=123 best_q=151964
[GP_Matern52_PI run 2] iter=25 n=128 best_q=151964
[GP_Matern52_PI run 2] iter=26 n=133 best_q=151964
[GP_Matern52_PI run 2] iter=27 n=138 best_q=151964
[GP_Matern52_PI run 2] iter=28 n=143 best_q=151964
[GP_Matern52_PI run 2] iter=29 n=148 best_q=151964
[GP_Matern52_PI run 2] iter=30 n=150 best_q=151964
[GP_Matern52_PI run 3] iter=01 n=8 best_q=33849
[GP_Matern52_PI run 3] iter=02 n=13 best_q=33849
[GP_Matern52_PI run 3] iter=03 n=18 best_q=44239
[GP_Matern52_PI run 3] iter=04 n=23 best_q=45948
[GP_Matern52_PI run 3] iter=05 n=28 best_q=49339
[GP_Matern52_PI run 3] iter=06 n=33 best_q=101830
[GP_Matern52_PI run 3] iter=07 n=38 best_q=101830
[GP_Matern52_PI run 3] iter=08 n=43 best_q=116612
[GP_Matern52_PI run 3] iter=09 n=48 best_q=116612
[GP_Matern52_PI run 3] iter=10 n=53 best_q=116612
[GP_Matern52_PI run 3] iter=11 n=58 best_q=116612
[GP_Matern52_PI run 3] iter=12 n=63 best_q=116612
[GP_Matern52_PI run 3] iter=13 n=68 best_q=116612
[GP_Matern52_PI run 3] iter=14 n=73 best_q=131413
[GP_Matern52_PI run 3] iter=15 n=78 best_q=131413
[GP_Matern52_PI run 3] iter=16 n=83 best_q=131413
[GP_Matern52_PI run 3] iter=17 n=88 best_q=131413
[GP_Matern52_PI run 3] iter=18 n=93 best_q=131413
[GP_Matern52_PI run 3] iter=19 n=98 best_q=131413
[GP_Matern52_PI run 3] iter=20 n=103 best_q=133674
[GP_Matern52_PI run 3] iter=21 n=108 best_q=133674
[GP_Matern52_PI run 3] iter=22 n=113 best_q=133674
[GP_Matern52_PI run 3] iter=23 n=118 best_q=133674
[GP_Matern52_PI run 3] iter=24 n=123 best_q=133674
[GP_Matern52_PI run 3] iter=25 n=128 best_q=133674
[GP_Matern52_PI run 3] iter=26 n=133 best_q=143257
[GP_Matern52_PI run 3] iter=27 n=138 best_q=143257
[GP_Matern52_PI run 3] iter=28 n=143 best_q=143257
[GP_Matern52_PI run 3] iter=29 n=148 best_q=143257
[GP_Matern52_PI run 3] iter=30 n=150 best_q=143257
[GP_Matern52_PI run 4] iter=01 n=8 best_q=0
[GP_Matern52_PI run 4] iter=02 n=13 best_q=0
