method,policy,family,run,iteration,configured_batch_size,configured_budget,configured_exploration,n_experiments,batch_size_added,best_q,best_pool_idx,simple_regret,normalized_regret,best_rank_percentile,hit_top1pct,hit_top0_1pct,success_fraction_selected,mean_q_selected,last_batch_best_q,mean_pairwise_batch_distance,fit_seconds,acq_seconds,cum_seconds,status,pool_oracle_best_q,full_grid_best_q,surrogate_rmse_raw,surrogate_mae_raw,surrogate_spearman_raw,surrogate_crps,surrogate_nll,surrogate_coverage95,surrogate_mean_sd,n_acq_candidates,n_trustworthy_candidates,n_suspicious_candidates,selected_trustworthy,selected_suspicious,requested_trustworthy,requested_suspicious,gate_fallback,fallback_slots,selected_suspicious_fraction
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,0,5,150,1,3,3,0.0,2370341,247107.0,1.0,93.70319341923158,0.0,0.0,0.0,0.0,0.0,1.0123451313576954,0.0,0.0,0.0,initial,247107.0,247107.0,,,,,,,,0,,,0,3,,,False,,1.0
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,1,5,150,1,8,5,45710.0,1041565,201397.0,0.8150194045494462,99.1430826732962,1.0,0.0,0.125,5713.75,45710.0,1.0898130110744915,0.00011033299961127341,0.00521212500098045,0.005322458000591723,constant_target_fallback,247107.0,247107.0,8794.15225607335,1574.217,0.0,0.8138185086950146,3.9690805000534337,0.9332,1.0,15000,3347.0,11653.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,2,5,150,1,13,5,46596.0,953961,200511.0,0.8114339132440602,99.1808622998991,1.0,0.0,0.38461538461538464,17216.53846153846,46596.0,0.6558923668708578,0.010845917000551708,0.006892042001709342,0.023060417002852773,ok,247107.0,247107.0,8691.300291847048,1868.3302880041924,0.1640351853671022,1.4577869108272026,3.372320486661563,0.907,2.813694744266164,15000,3354.0,11646.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,3,5,150,1,18,5,46596.0,953961,200511.0,0.8114339132440602,99.1808622998991,1.0,0.0,0.5,19129.722222222223,31832.0,0.2673617143817893,0.015149375001783483,0.007422958999086404,0.04563275100372266,ok,247107.0,247107.0,7814.878486031465,1633.3197930497956,0.40894201272520125,1.2037114309828405,2.7277869503442913,0.912,2.256930962537722,15000,3362.0,11638.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,4,5,150,1,23,5,46596.0,953961,200511.0,0.8114339132440602,99.1808622998991,1.0,0.0,0.5217391304347826,18017.695652173912,46457.0,0.5997084657166928,0.01893420800115564,0.009512749998975778,0.07407970900385408,ok,247107.0,247107.0,8512.169530487028,1897.9240099378817,0.18738007123845032,2.131151321649578,3.28241158779701,0.9242,3.652172750200627,15000,3323.0,11677.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,5,5,150,1,28,5,97479.0,689909,149628.0,0.6055190666391482,99.8843500888026,1.0,0.0,0.5714285714285714,22393.64285714286,97479.0,0.6312042096401268,0.028791917000489775,0.010513499997614417,0.11338512600195827,ok,247107.0,247107.0,7126.043992531659,1363.9388480714804,0.3596136268258718,2.305648130533378,2.8037388535910353,0.9864,4.632777303228093,15000,3340.0,11660.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,6,5,150,1,33,5,97479.0,689909,149628.0,0.6055190666391482,99.8843500888026,1.0,0.0,0.6060606060606061,27018.515151515152,81767.0,0.6128518243492949,0.018890499999542953,0.012744457999360748,0.14502008400086197,ok,247107.0,247107.0,6771.465129926991,1366.9233820753607,0.3280908238815157,2.6295416636333786,2.9166056345739255,0.9942,5.225192957923069,15000,3431.0,11569.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,7,5,150,1,38,5,97479.0,689909,149628.0,0.6055190666391482,99.8843500888026,1.0,0.0,0.631578947368421,26206.5,38634.0,0.4450666732163386,0.029370124997512903,0.012340500001300825,0.1867307089996757,ok,247107.0,247107.0,25468.67306850342,7081.185707748555,0.12322754678885084,3.608827408139089,14.808847065323192,0.8564,4.270873319615231,15000,3284.0,11716.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,8,5,150,1,43,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6744186046511628,30967.79069767442,182263.0,0.5100907100139059,0.0241784589998133,0.014001999999891268,0.22491116799938027,ok,247107.0,247107.0,6052.250403400568,1360.2309569035542,0.2760161179867888,3.0011694066043044,3.0140624222277204,0.9966,5.414591739251303,15000,3431.0,11569.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,9,5,150,1,48,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6875,31504.166666666668,89368.0,0.436200958934365,0.0417931249976391,0.01611083299940219,0.28281512599642156,ok,247107.0,247107.0,6294.806093571859,1490.8881082735004,0.27018929328598346,3.1243885512191887,3.0484822171307213,0.9946,5.520136389577682,15000,3328.0,11672.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,10,5,150,1,53,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.660377358490566,29266.943396226416,19603.0,0.71148268386551,0.05688312500205939,0.015460124999663094,0.35515837599814404,ok,247107.0,247107.0,13131.865420107719,2378.6926699996857,0.3422071279543886,2.3936771876811647,3.0325800483010616,0.9142,4.392409723964753,15000,3362.0,11638.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,11,5,150,1,58,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6724137931034483,29856.431034482757,112656.0,1.1175512771919578,0.058366208999359515,0.018249749999085907,0.43177433499658946,ok,247107.0,247107.0,6279.764267127306,1341.2113867231426,0.21130038596978684,2.7744179709658483,2.966124019022619,0.9886,5.54708586815248,15000,3328.0,11672.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,12,5,150,1,63,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6825396825396826,34432.730158730155,135641.0,0.8870853606794092,0.05261091700231191,0.0167707500004326,0.501156001999334,ok,247107.0,247107.0,6056.39621928799,1256.8091162710425,0.23029012715498917,2.6801273265800534,2.940534832434223,0.9876,5.535090502111619,15000,3350.0,11650.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,13,5,150,1,68,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6911764705882353,33608.632352941175,97496.0,0.7179317988172477,0.07235766599842464,0.019232292001106543,0.5927459599988651,ok,247107.0,247107.0,5962.067844637957,1173.2491797801845,0.24577992211677477,2.529770322074271,2.9157138781720886,0.9866,5.658719272074162,15000,3471.0,11529.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,14,5,150,1,73,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6712328767123288,32972.24657534246,63925.0,0.8596581108244538,0.11187508299917681,0.020169874998828163,0.7247909179968701,ok,247107.0,247107.0,6077.783817014278,1171.4086835083242,0.2505355383337334,2.442651363193722,2.896665316835901,0.9868,5.654534355942468,15000,3370.0,11630.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,15,5,150,1,78,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6282051282051282,30858.641025641027,0.0,0.5006487951901075,0.10817816599956132,0.019783250001637498,0.8527523339980689,ok,247107.0,247107.0,6102.030180469438,1137.998789839811,0.2730538307803988,2.2646066055170637,2.8390648580851114,0.9862,5.424581664346171,15000,3320.0,11680.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,16,5,150,1,83,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6265060240963856,29322.63855421687,18848.0,0.9903226764791414,0.14206704100070056,0.021366375000070548,1.01618574999884,ok,247107.0,247107.0,6108.580404282637,1089.586872895792,0.3057288055824875,1.9489439046232997,2.7356384150789608,0.985,5.069494733941082,15000,3377.0,11623.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,17,5,150,1,88,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6363636363636364,28877.715909090908,88725.0,0.5548897121406713,0.09994374999951106,0.020230665999406483,1.1363601659977576,ok,247107.0,247107.0,6097.192533435767,1081.5485928956696,0.31811777212009296,1.8349049432727378,2.704650535771565,0.9796,4.894059005951806,15000,3329.0,11671.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,18,5,150,1,93,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6451612903225806,28798.0,88404.0,0.3041978753900538,0.10803229200246278,0.021231500002613757,1.2656239580028341,ok,247107.0,247107.0,6852.58589877814,1153.3412260308814,0.3357337748718244,1.7053771394650314,2.692533617508856,0.9808,5.070581315681628,15000,3336.0,11664.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,19,5,150,1,98,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6530612244897959,31280.438775510203,107212.0,0.7870003334253479,0.06653570800335729,0.023058958002366126,1.3552186240085575,ok,247107.0,247107.0,6130.104851450948,1083.9376918797195,0.30973674429341197,1.7832140926817615,2.697874976848983,0.9834,5.039998263547635,15000,3450.0,11550.0,4,1,4.0,1.0,False,,0.2
GP_Matern52_PI_GATE_4T1S,imperfection_aware,Imperfection-aware,0,20,5,150,1,103,5,182263.0,690707,64844.0,0.262412639059193,99.99726282097932,1.0,1.0,0.6601941747572816,32437.572815533982,94532.0,0.8325867914500774,0.11827045899917721,0.02319133399942075,1.4966804170071555,ok,247107.0,247107.0,5891.656676737909,1060.2406802479904,0.315152003651992,1.6421136460493932,2.6726495680424325,0.9858,5.0104782946144875,15000,3421.0,11579.0,4,1,4.0,1.0,False,,0.2
