$ /opt/anaconda3/envs/actmof/bin/python /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/my_scripts/lucien/2026-08-19/experiment_a/run_experiment_a.py --n-rounds 5 --budget 150 --batch-size 5 --exploration 1 --policy imperfection_aware --results-base-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a

[CONFIG] runs=5 batch_size=5 budget=150 exploration_slots=1 policy=imperfection_aware method=GP_Matern52_PI_GATE_4T1S
[PASS] Gate metadata feature order matches all 6,101,172 benchmark pool rows.
[OUTPUT] Writing run outputs to /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/imperfection_aware/n_rounds_5/budget_150/batch_size_5/exploration_1
[GP_Matern52_PI_GATE_4T1S run 0] iter=01 n=8 best_q=45710
[GP_Matern52_PI_GATE_4T1S run 0] iter=02 n=13 best_q=46596
[GP_Matern52_PI_GATE_4T1S run 0] iter=03 n=18 best_q=46596
[GP_Matern52_PI_GATE_4T1S run 0] iter=04 n=23 best_q=46596
[GP_Matern52_PI_GATE_4T1S run 0] iter=05 n=28 best_q=97479
[GP_Matern52_PI_GATE_4T1S run 0] iter=06 n=33 best_q=97479
[GP_Matern52_PI_GATE_4T1S run 0] iter=07 n=38 best_q=97479
[GP_Matern52_PI_GATE_4T1S run 0] iter=08 n=43 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=09 n=48 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=10 n=53 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=11 n=58 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=12 n=63 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=13 n=68 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=14 n=73 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=15 n=78 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=16 n=83 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=17 n=88 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=18 n=93 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=19 n=98 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=20 n=103 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=21 n=108 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=22 n=113 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=23 n=118 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=24 n=123 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=25 n=128 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=26 n=133 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=27 n=138 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=28 n=143 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=29 n=148 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 0] iter=30 n=150 best_q=182263
[GP_Matern52_PI_GATE_4T1S run 1] iter=01 n=8 best_q=53052
[GP_Matern52_PI_GATE_4T1S run 1] iter=02 n=13 best_q=110704
[GP_Matern52_PI_GATE_4T1S run 1] iter=03 n=18 best_q=110704
[GP_Matern52_PI_GATE_4T1S run 1] iter=04 n=23 best_q=110704
[GP_Matern52_PI_GATE_4T1S run 1] iter=05 n=28 best_q=110704
[GP_Matern52_PI_GATE_4T1S run 1] iter=06 n=33 best_q=110704
[GP_Matern52_PI_GATE_4T1S run 1] iter=07 n=38 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=08 n=43 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=09 n=48 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=10 n=53 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=11 n=58 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=12 n=63 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=13 n=68 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=14 n=73 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=15 n=78 best_q=128509
[GP_Matern52_PI_GATE_4T1S run 1] iter=16 n=83 best_q=133441
[GP_Matern52_PI_GATE_4T1S run 1] iter=17 n=88 best_q=133441
[GP_Matern52_PI_GATE_4T1S run 1] iter=18 n=93 best_q=133441
[GP_Matern52_PI_GATE_4T1S run 1] iter=19 n=98 best_q=133441
[GP_Matern52_PI_GATE_4T1S run 1] iter=20 n=103 best_q=152159
[GP_Matern52_PI_GATE_4T1S run 1] iter=21 n=108 best_q=152159
[GP_Matern52_PI_GATE_4T1S run 1] iter=22 n=113 best_q=152159
[GP_Matern52_PI_GATE_4T1S run 1] iter=23 n=118 best_q=152159
[GP_Matern52_PI_GATE_4T1S run 1] iter=24 n=123 best_q=152159
[GP_Matern52_PI_GATE_4T1S run 1] iter=25 n=128 best_q=189068
[GP_Matern52_PI_GATE_4T1S run 1] iter=26 n=133 best_q=189068
[GP_Matern52_PI_GATE_4T1S run 1] iter=27 n=138 best_q=189068
[GP_Matern52_PI_GATE_4T1S run 1] iter=28 n=143 best_q=189068
[GP_Matern52_PI_GATE_4T1S run 1] iter=29 n=148 best_q=189068
[GP_Matern52_PI_GATE_4T1S run 1] iter=30 n=150 best_q=189068
