method,policy,family,run,iteration,configured_batch_size,configured_budget,configured_exploration,n_experiments,batch_size_added,best_q,best_pool_idx,simple_regret,normalized_regret,best_rank_percentile,hit_top1pct,hit_top0_1pct,success_fraction_selected,mean_q_selected,last_batch_best_q,mean_pairwise_batch_distance,fit_seconds,acq_seconds,cum_seconds,status,pool_oracle_best_q,full_grid_best_q,surrogate_rmse_raw,surrogate_mae_raw,surrogate_spearman_raw,surrogate_crps,surrogate_nll,surrogate_coverage95,surrogate_mean_sd,n_acq_candidates,n_trustworthy_candidates,n_suspicious_candidates,selected_trustworthy,selected_suspicious,requested_trustworthy,requested_suspicious,gate_fallback,fallback_slots,selected_suspicious_fraction
Random,random,Random Baseline,0,0,5,150,0,3,3,0.0,2370341,247107.0,1.0,93.70319341923158,0.0,0.0,0.0,0.0,0.0,1.0123451313576954,0.0,0.0,0.0,initial,247107.0,247107.0,,,,,,,,0,,,0,3,,,False,,1.0
Random,random,Random Baseline,0,1,5,150,0,8,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.125,6187.5,49500.0,0.7026967304100327,0.0007557919998362195,0.006936458001291612,0.007692250001127832,constant_target_fallback,247107.0,247107.0,8794.15225607335,1574.217,0.0,0.8138185086950146,3.9690805000534337,0.9332,1.0,15000,3347.0,11653.0,2,3,,,False,,0.6
Random,random,Random Baseline,0,2,5,150,0,13,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.07692307692307693,3807.6923076923076,0.0,0.7267137469105724,0.020844041999225738,0.004489040999033023,0.03302533299938659,ok,247107.0,247107.0,9688.02068261469,2220.5613679086905,0.0074060206813421426,1.6939600139784041,6.985775024667054,0.8566,2.376197352950466,15000,3318.0,11682.0,1,4,,,False,,0.8
Random,random,Random Baseline,0,3,5,150,0,18,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.1111111111111111,3089.722222222222,6115.0,0.9668396172001821,0.018164999997679843,0.0055842500005383044,0.05677458299760474,ok,247107.0,247107.0,18712.731345629076,4484.174657115908,0.03558582819389256,1.791100270765067,11.276652386883828,0.7734,1.106881764358249,15000,3348.0,11652.0,3,2,,,False,,0.4
Random,random,Random Baseline,0,4,5,150,0,23,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.13043478260869565,3281.8695652173915,19868.0,0.8458730271019881,0.015609750000294298,0.006711124999128515,0.07909545799702755,ok,247107.0,247107.0,8218.229157862934,1462.2008969603746,0.40552282702665743,0.9358131634543899,2.483875147301805,0.8604,1.3541562588991634,15000,3351.0,11649.0,3,2,,,False,,0.4
Random,random,Random Baseline,0,5,5,150,0,28,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.10714285714285714,2695.8214285714284,0.0,0.9516825980656785,0.012727500001346925,0.008182458001101622,0.1000054159994761,ok,247107.0,247107.0,22245.424066949963,3413.9539032211974,0.3523251283671875,0.9706013844417961,4.117264674470413,0.8632,1.3266705756654853,15000,3368.0,11632.0,1,4,,,False,,0.8
Random,random,Random Baseline,0,6,5,150,0,33,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.09090909090909091,2287.3636363636365,0.0,0.9752572629002522,0.014332916998682776,0.008971582999947714,0.12330991599810659,ok,247107.0,247107.0,8550.410116364295,1537.4464639437176,0.33424148510908447,1.0055641122661585,2.3410833925555687,0.9182,2.1479161163644855,15000,3340.0,11660.0,1,4,,,False,,0.8
Random,random,Random Baseline,0,7,5,150,0,38,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.07894736842105263,1986.3947368421052,0.0,0.9020970128836637,0.049649915999907535,0.010241165997285862,0.18320099799529999,ok,247107.0,247107.0,8323.882545357787,1608.3584219110705,-0.014315709421666455,1.1207314008791243,4.742015988893944,0.9044,1.757381905761682,15000,3364.0,11636.0,1,4,,,False,,0.8
Random,random,Random Baseline,0,8,5,150,0,43,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.06976744186046512,1755.4186046511627,0.0,0.9344934902780672,0.033255291997193126,0.00958929199987324,0.22604558199236635,ok,247107.0,247107.0,8743.987377469384,1671.1754255707265,0.36664937996153363,0.8436361725832535,3.518161513256759,0.9078,1.44088996597269,15000,3265.0,11735.0,0,5,,,False,,1.0
Random,random,Random Baseline,0,9,5,150,0,48,5,49500.0,1461208,197607.0,0.7996819191686193,99.29429952146899,1.0,0.0,0.0625,1572.5625,0.0,1.0738504195084182,0.05798516699724132,0.01194562499949825,0.2959763739891059,ok,247107.0,247107.0,8412.189383144012,1491.6282013412356,0.3084126129243394,0.9119567473850267,2.6620630598795145,0.8982,1.5062064476115515,15000,3295.0,11705.0,0,5,,,False,,1.0
