split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
0,random,Random,0,15,0,15,40,40,1.0,17,0.425,2.2426986915213583,0.5437447202233532,10.729284487191537,4.003152670803008,-1.0173976070536264,0
0,random,Random,1,15,5,20,35,40,1.0,12,0.3,1.6584175292343095,0.3031032185346101,10.380994213509265,3.291414201381638,-0.2616352164559086,0
0,random,Random,2,15,10,25,30,40,1.0,9,0.225,1.621626576917571,0.3575293026410113,10.380994213509265,3.282866798209883,-0.1846508197947151,0
0,random,Random,3,15,15,30,25,40,1.0,13,0.325,1.639475385105073,0.3842177240562181,10.380994213509265,3.223990428491793,-0.3114626119101166,0
0,random,Random,4,15,20,35,20,40,1.0,11,0.275,1.3960242543511676,0.3505137164930287,10.380994213509265,2.9260163774297,-0.464639767715194,0
0,random,Random,5,15,25,40,15,40,1.0,9,0.225,1.3276130842925995,0.2460005830980778,10.793454842740768,3.03436093870685,-1.050398538168906,0
0,random,Random,6,15,30,45,10,40,1.0,10,0.25,1.5520683572473897,0.2494629324710784,10.793454842740768,3.2938180980859313,-1.2657147662456558,0
0,random,Random,7,15,35,50,5,40,1.0,11,0.275,1.553643455110818,0.2110339613859579,10.793454842740768,3.2950747037469466,-1.2419741395282942,0
0,random,Random,8,15,40,55,0,40,1.0,12,0.3,1.5534524226988196,0.2116429669525574,10.793454842740768,3.2931059753883396,-1.2127384817589224,0
0,gp_m52_pi,GP M52 + PI,0,15,0,15,40,40,1.0,17,0.425,2.2426986915213583,0.5437447202233532,10.729284487191537,4.003152670803008,-1.0173976070536264,0
0,gp_m52_pi,GP M52 + PI,1,15,5,20,35,40,1.0,14,0.35,1.995711149957966,0.4829786424386704,10.729284487191537,3.773101921564807,-1.159594562429503,0
0,gp_m52_pi,GP M52 + PI,2,15,10,25,30,40,1.0,11,0.275,1.6871192167282447,0.3570104629095914,10.380994213509265,3.377449452853219,-0.1195955366077805,0
0,gp_m52_pi,GP M52 + PI,3,15,15,30,25,40,1.0,8,0.2,1.4808531518882335,0.2688103373571993,10.793454842740768,3.2346448411851294,-0.3911126927358105,0
0,gp_m52_pi,GP M52 + PI,4,15,20,35,20,40,1.0,9,0.225,1.4801261304448716,0.2516241789152857,10.793454842740768,3.2291298562327344,-0.2925252099397412,0
0,gp_m52_pi,GP M52 + PI,5,15,25,40,15,40,1.0,9,0.225,1.436530775890411,0.1991560668104988,10.793454842740768,3.1463795312399983,-0.3968015051711586,0
0,gp_m52_pi,GP M52 + PI,6,15,30,45,10,40,1.0,11,0.275,1.435177078832034,0.2162774715129005,10.793454842740768,3.1034469375295317,-1.0481804531309098,0
0,gp_m52_pi,GP M52 + PI,7,15,35,50,5,40,1.0,10,0.25,1.4131609669001874,0.2004877830760394,10.793454842740768,3.0774665147323845,-0.9928738473202684,0
0,gp_m52_pi,GP M52 + PI,8,15,40,55,0,40,1.0,12,0.3,1.5534524226988196,0.2116429669525574,10.793454842740768,3.2931059753883396,-1.2127384817589224,0
0,gp_m52_ei,GP M52 + EI,0,15,0,15,40,40,1.0,17,0.425,2.2426986915213583,0.5437447202233532,10.729284487191537,4.003152670803008,-1.0173976070536264,0
0,gp_m52_ei,GP M52 + EI,1,15,5,20,35,40,1.0,14,0.35,1.9989880792622223,0.5015857147034941,10.856476588192956,3.8133794041678457,-1.1857957794595728,0
0,gp_m52_ei,GP M52 + EI,2,15,10,25,30,40,1.0,11,0.275,1.716121911575486,0.4048025319156787,10.793454842740768,3.460329340878737,-0.6994521863439846,0
0,gp_m52_ei,GP M52 + EI,3,15,15,30,25,40,1.0,12,0.3,1.7639218930974494,0.3466906846772248,10.793454842740768,3.522897024165109,-0.6577582920833924,0
0,gp_m52_ei,GP M52 + EI,4,15,20,35,20,40,1.0,14,0.35,2.327762929769592,0.2595371203650494,10.856476588192956,4.358889568378148,-1.9416030133353568,0
0,gp_m52_ei,GP M52 + EI,5,15,25,40,15,40,1.0,13,0.325,2.318388918432884,0.2243481301329382,10.856476588192956,4.372817691208516,-1.8973983480673628,0
0,gp_m52_ei,GP M52 + EI,6,15,30,45,10,40,1.0,11,0.275,1.6461732730937442,0.2611578606624523,10.793454842740768,3.384029813042255,-0.7244972452407703,0
0,gp_m52_ei,GP M52 + EI,7,15,35,50,5,40,1.0,9,0.225,1.4039189391211988,0.275623858141854,10.793454842740768,3.067542262009721,-0.9517031645440148,0
0,gp_m52_ei,GP M52 + EI,8,15,40,55,0,40,1.0,12,0.3,1.5534524226988196,0.2116429669525574,10.793454842740768,3.2931059753883396,-1.2127384817589224,0
0,pi_random_exploration,GP M52 PI + Random Exploration,0,15,0,15,40,40,1.0,17,0.425,2.2426986915213583,0.5437447202233532,10.729284487191537,4.003152670803008,-1.0173976070536264,0
0,pi_random_exploration,GP M52 PI + Random Exploration,1,15,5,20,35,40,1.0,13,0.325,2.1962457569258818,0.6513808113157511,10.793454842740768,4.078377299204432,-1.389562912747203,0
0,pi_random_exploration,GP M52 PI + Random Exploration,2,15,10,25,30,40,1.0,10,0.25,1.7046151692371634,0.4062712350936168,10.793454842740768,3.472547178783344,-0.6286902145146126,0
0,pi_random_exploration,GP M52 PI + Random Exploration,3,15,15,30,25,40,1.0,11,0.275,1.4801020165607244,0.3595472618595501,10.380994213509265,3.029272689782937,-0.4729816629151496,0
0,pi_random_exploration,GP M52 PI + Random Exploration,4,15,20,35,20,40,1.0,14,0.35,2.608652533727073,0.3946655326745292,11.953828499481324,4.739596754509613,-2.247709720535714,0
0,pi_random_exploration,GP M52 PI + Random Exploration,5,15,25,40,15,40,1.0,12,0.3,2.325036350163507,0.258036265023903,10.856476588192956,4.370680066621638,-1.9030919953284715,0
0,pi_random_exploration,GP M52 PI + Random Exploration,6,15,30,45,10,40,1.0,11,0.275,1.4390565674376057,0.2715291652015885,10.380994213509265,2.9550246228744115,-0.5307424024105364,0
0,pi_random_exploration,GP M52 PI + Random Exploration,7,15,35,50,5,40,1.0,9,0.225,1.192955412856561,0.2705658037886032,10.380994213509265,2.593242862565401,-0.7476006270048499,0
0,pi_random_exploration,GP M52 PI + Random Exploration,8,15,40,55,0,40,1.0,12,0.3,1.5534524226988196,0.2116429669525574,10.793454842740768,3.2931059753883396,-1.2127384817589224,0
0,pi_uncertainty,PI + Uncertainty,0,15,0,15,40,40,1.0,17,0.425,2.2426986915213583,0.5437447202233532,10.729284487191537,4.003152670803008,-1.0173976070536264,0
0,pi_uncertainty,PI + Uncertainty,1,15,5,20,35,40,1.0,15,0.375,1.982193452826984,0.5563689906175995,10.729284487191537,3.7337708795087594,-1.1659794384480515,0
0,pi_uncertainty,PI + Uncertainty,2,15,10,25,30,40,1.0,11,0.275,1.7108243502249494,0.3810824441505822,10.793454842740768,3.490607591434306,-0.645091174501332,0
0,pi_uncertainty,PI + Uncertainty,3,15,15,30,25,40,1.0,10,0.25,1.667927691650238,0.2802166349616817,10.793454842740768,3.4425769229499656,-0.6651400741809353,0
0,pi_uncertainty,PI + Uncertainty,4,15,20,35,20,40,1.0,13,0.325,2.1020468142757425,0.2509566321279521,10.856476588192956,3.943247908079606,-0.796419804562761,0
0,pi_uncertainty,PI + Uncertainty,5,15,25,40,15,40,1.0,11,0.275,1.4688845242149422,0.2107074945174227,10.380994213509265,3.0246735099092343,-0.5597657125041661,0
0,pi_uncertainty,PI + Uncertainty,6,15,30,45,10,40,1.0,13,0.325,1.8946020008510236,0.2112090582434556,10.856476588192956,3.828429932728123,-1.3938361000123285,0
0,pi_uncertainty,PI + Uncertainty,7,15,35,50,5,40,1.0,11,0.275,1.4441794421864187,0.2149246002679925,10.793454842740768,3.1214082698096695,-0.9540757425339106,0
0,pi_uncertainty,PI + Uncertainty,8,15,40,55,0,40,1.0,12,0.3,1.5534524226988196,0.2116429669525574,10.793454842740768,3.2931059753883396,-1.2127384817589224,0
0,imperfection_aware,Imperfection-aware,0,15,0,15,40,40,1.0,17,0.425,2.2426986915213583,0.5437447202233532,10.729284487191537,4.003152670803008,-1.0173976070536264,0
0,imperfection_aware,Imperfection-aware,1,15,5,20,35,40,1.0,14,0.35,2.1526746125146317,0.4263854384228436,10.729284487191537,3.9728325918980927,-0.9149352342086108,0
0,imperfection_aware,Imperfection-aware,2,15,10,25,30,40,1.0,14,0.35,2.147778598540723,0.5703673669287683,10.729284487191537,3.994809419918364,-0.7911357581325327,0
0,imperfection_aware,Imperfection-aware,3,15,15,30,25,40,1.0,11,0.275,1.4770583985916326,0.3116037026093661,10.380994213509265,3.0738914256813223,-0.0085581477796123,0
0,imperfection_aware,Imperfection-aware,4,15,20,35,20,40,1.0,11,0.275,1.649601939065238,0.2605529278996741,10.380994213509265,3.3678614085443965,-0.0609633720721727,0
0,imperfection_aware,Imperfection-aware,5,15,25,40,15,40,1.0,13,0.325,1.6591682001870691,0.3172135740560602,10.380994213509265,3.2931258370986005,-0.1743971652534153,0
0,imperfection_aware,Imperfection-aware,6,15,30,45,10,40,1.0,11,0.275,1.3919319376970922,0.2287594325365107,10.380994213509265,2.9533043013273934,-0.44949096996575,0
0,imperfection_aware,Imperfection-aware,7,15,35,50,5,40,1.0,12,0.3,1.5644772784739525,0.2535671463411377,10.380994213509265,3.2028588599993664,-0.7546531472278264,0
0,imperfection_aware,Imperfection-aware,8,15,40,55,0,40,1.0,12,0.3,1.5534524226988196,0.2116429669525574,10.793454842740768,3.2931059753883396,-1.2127384817589224,1
1,random,Random,0,15,0,15,40,40,1.0,20,0.5,3.5875638601888924,1.0069265381972443,11.344435804907066,5.50520596703289,-3.505945117283358,0
1,random,Random,1,15,5,20,35,40,1.0,16,0.4,2.921841630837924,0.7404925089107328,11.953828499481324,4.843876151469601,-2.8591173779144117,0
1,random,Random,2,15,10,25,30,40,1.0,16,0.4,2.570498767086531,0.3711456732190896,11.953828499481324,4.5733666647394795,-2.373806969087622,0
1,random,Random,3,15,15,30,25,40,1.0,14,0.35,2.425249992739274,0.2938104772285186,11.953828499481324,4.481886860468949,-2.0106173881182516,0
1,random,Random,4,15,20,35,20,40,1.0,15,0.375,2.674046218791665,0.2423050577867256,11.953828499481324,4.698059672686813,-2.3857192571002983,0
1,random,Random,5,15,25,40,15,40,1.0,16,0.4,2.605507910128214,0.2430361249119723,10.856476588192956,4.467707232968065,-2.426451720477254,0
1,random,Random,6,15,30,45,10,40,1.0,16,0.4,2.4694815929187843,0.2649237996192921,10.856476588192956,4.33076475532341,-2.186633646301618,0
1,random,Random,7,15,35,50,5,40,1.0,15,0.375,2.360564697084669,0.3465721373751478,10.856476588192956,4.224363034871537,-1.9406088283880845,0
1,random,Random,8,15,40,55,0,40,1.0,16,0.4,2.368029796127997,0.3632193199481186,10.856476588192956,4.226202505576361,-1.9333407148983972,0
1,gp_m52_pi,GP M52 + PI,0,15,0,15,40,40,1.0,20,0.5,3.5875638601888924,1.0069265381972443,11.344435804907066,5.50520596703289,-3.505945117283358,0
1,gp_m52_pi,GP M52 + PI,1,15,5,20,35,40,1.0,19,0.475,3.5306171499374828,0.8677155497754758,11.344435804907066,5.517303102968117,-3.3776901387372034,0
1,gp_m52_pi,GP M52 + PI,2,15,10,25,30,40,1.0,17,0.425,2.4763051580086453,0.7114555084001775,10.856476588192956,4.263083496146122,-2.215473094326024,0
1,gp_m52_pi,GP M52 + PI,3,15,15,30,25,40,1.0,16,0.4,2.213138532110984,0.5081317865612385,10.856476588192956,4.018714839211404,-1.8637440641824952,0
1,gp_m52_pi,GP M52 + PI,4,15,20,35,20,40,1.0,14,0.35,2.1980481723408736,0.268120337021986,10.856476588192956,4.026021561922697,-1.6806529970677098,0
1,gp_m52_pi,GP M52 + PI,5,15,25,40,15,40,1.0,16,0.4,2.643788982257401,0.3190835167350885,10.856476588192956,4.473331454961445,-2.3766417124802666,0
1,gp_m52_pi,GP M52 + PI,6,15,30,45,10,40,1.0,16,0.4,2.5024058530628155,0.3126355983711182,10.856476588192956,4.338474861471214,-2.1691449411933026,0
1,gp_m52_pi,GP M52 + PI,7,15,35,50,5,40,1.0,16,0.4,2.502227212159789,0.34095585428941,10.856476588192956,4.341453189352255,-2.1620799467294907,0
1,gp_m52_pi,GP M52 + PI,8,15,40,55,0,40,1.0,16,0.4,2.368029796127997,0.3632193199481186,10.856476588192956,4.226202505576361,-1.9333407148983972,0
1,gp_m52_ei,GP M52 + EI,0,15,0,15,40,40,1.0,20,0.5,3.5875638601888924,1.0069265381972443,11.344435804907066,5.50520596703289,-3.505945117283358,0
