method,method_label,round,catastrophic_error_rate_mean,catastrophic_error_rate_std,catastrophic_error_rate_sem,n_catastrophic_errors_mean,n_catastrophic_errors_std,n_catastrophic_errors_sem,mean_abs_log_error_mean,mean_abs_log_error_std,mean_abs_log_error_sem,median_abs_log_error_mean,median_abs_log_error_std,median_abs_log_error_sem,max_abs_log_error_mean,max_abs_log_error_std,max_abs_log_error_sem,rmse_log_error_mean,rmse_log_error_std,rmse_log_error_sem,signed_log_error_mean_mean,signed_log_error_mean_std,signed_log_error_mean_sem,gate_fallback_count_mean,gate_fallback_count_max,catastrophic_error_rate_ci95_low,catastrophic_error_rate_ci95_high,n_catastrophic_errors_ci95_low,n_catastrophic_errors_ci95_high,mean_abs_log_error_ci95_low,mean_abs_log_error_ci95_high,median_abs_log_error_ci95_low,median_abs_log_error_ci95_high,max_abs_log_error_ci95_low,max_abs_log_error_ci95_high,rmse_log_error_ci95_low,rmse_log_error_ci95_high,signed_log_error_mean_ci95_low,signed_log_error_mean_ci95_high,error_auc_mean,error_auc_std,error_auc_sem,error_auc_ci95_low,error_auc_ci95_high
random,Random,0,0.3525,0.13999530067300942,0.031303900883537114,7.05,2.799906013460189,0.6260780176707422,2.2094630891815354,1.0111683996329472,0.22610412782789432,0.7036535487072457,0.9796169446686253,0.2190490080189696,10.412960757449493,2.1006618084914166,0.4697222601524451,3.9182659033551444,1.2857344465157845,0.2874989623422362,-1.5541595852012489,1.2738476661624027,0.28484099745185903,0.0,0,0.29114435426826724,0.4138556457317327,5.822887085365345,8.277112914634655,1.7662989986388626,2.6526271797242083,0.2743174929900653,1.132989604424426,9.4923051275507,11.333616387348286,3.3547679371643615,4.481763869545928,-2.1124479402068923,-0.9958712301956052,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,1,0.355,0.13850707753149577,0.030971124072525835,7.1,2.770141550629916,0.6194224814505167,2.066890544995517,1.0705121779328208,0.23937380005991377,0.5781695088682024,0.6207001146423056,0.13879276499821078,9.911343196147188,2.344245327336966,0.5241891907861701,3.676172944895994,1.3969779493667953,0.3123737657852414,-1.4774050958991907,1.0779939130982708,0.24104676690187343,0.0,0,0.29429659681784937,0.4157034031821506,5.885931936356987,8.314068063643013,1.597717896878086,2.5360631931129483,0.30613568947170927,0.8502033282646955,8.883932382206295,10.938754010088081,3.063920363956921,4.288425525835067,-1.9498567590268625,-1.0049534327715188,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,2,0.35,0.1486783883350056,0.033245498310218426,7.0,2.973567766700113,0.6649099662043687,1.904099553312164,0.9489586295871414,0.2121936003591891,0.5357418239586018,0.4612157270653098,0.10313097180100222,9.536256763788181,2.412579381907527,0.5394691499059656,3.437496574198525,1.3336472596209097,0.2982125930518665,-1.3340295767935286,1.0257500787455214,0.2293646904000748,0.0,0,0.28483882331197186,0.4151611766880281,5.696776466239437,8.303223533760562,1.4882000966081534,2.3199990100161747,0.33360511922863745,0.7378785286885662,8.478897229972489,10.593616297603873,2.8529998918168666,4.021993256580183,-1.7835843699776752,-0.884474783609382,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,3,0.34500000000000003,0.1375538172192213,0.030757968586675996,6.9,2.751076344384426,0.61515937173352,1.8467127230107294,0.8079194183055033,0.18065627396731931,0.44213546678222315,0.3855774703180924,0.08621774342236622,9.392311060182772,2.8732219988637433,0.6424719703907154,3.391791633577445,1.2886310378749872,0.28814665986045773,-1.2899690220840283,0.840176146976165,0.18786909777125593,0.0,0,0.2847143815701151,0.405285618429885,5.694287631402301,8.1057123685977,1.4926264260347835,2.2007990199866754,0.2731486896743853,0.611122243890061,8.13306599821697,10.651556122148573,2.827024180250948,3.956559086903942,-1.65819245371569,-0.9217455904523667,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,4,0.335,0.12987848571888871,0.02904171228821708,6.7,2.5975697143777743,0.5808342457643416,1.756035730641371,0.7698610227395015,0.17214615800730368,0.4457740001642946,0.32651658426628966,0.0730113278200462,9.42588661804407,2.4810228052810293,0.5547735646335605,3.282856875541327,1.2260235797168857,0.27414720662645886,-1.2039122849278057,0.7946446479335592,0.1776879450735826,0.0,0,0.27807824391509456,0.3919217560849055,5.5615648783018905,7.83843512169811,1.4186292609470557,2.0934422003356863,0.302671797637004,0.5888762026915851,8.33853043136229,10.513242804725849,2.7455283505534678,3.8201854005291866,-1.5521806572720276,-0.8556439125835837,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,5,0.3225,0.1117739730555892,0.02499342018675273,6.45,2.235479461111784,0.49986840373505453,1.7057925607310616,0.8354288415330041,0.18680756800316967,0.40681680096404127,0.24569903932022819,0.054939975392642386,9.067367111745714,2.676663982253255,0.5985202617243568,3.174164187314593,1.324834789690011,0.29624206487035015,-1.0996051108029623,0.904714540563085,0.20230032129315487,0.0,0,0.27351289643396465,0.37148710356603537,5.470257928679294,7.429742071320707,1.339649727444849,2.0719353940172742,0.2991344491944622,0.5144991527336203,7.894267398765974,10.240466824725454,2.5935297401687065,3.7547986344604793,-1.4961137405375458,-0.7030964810683789,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,6,0.3,0.11809897722272042,0.026407734114320215,6.0,2.361979544454408,0.5281546822864043,1.6008478603937053,0.7251881681569874,0.1621570040477572,0.375516909740306,0.21548994697161447,0.048185016989635496,9.005143220843395,2.937085433365081,0.6567522684728748,3.0753019025252524,1.2068170795942395,0.2698525026380494,-1.113464210039166,0.814033474279926,0.18202341844502415,0.0,0,0.24824084113593237,0.3517591588640676,4.964816822718648,7.035183177281352,1.2830201324601012,1.9186755883273094,0.28107427644062044,0.46995954303999155,7.717908774636561,10.29237766705023,2.5463909973546754,3.6042128076958293,-1.4702301101914135,-0.7566983098869187,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
random,Random,7,0.2875,0.1255252123972249,0.028068290781029417,5.75,2.5105042479444974,0.5613658156205884,1.5870839548389455,0.7380469395309631,0.16503231273769103,0.37866845014786465,0.20490666409173613,0.04581852299518373,9.020529151901567,2.9018104364785837,0.6488645393784448,3.069152337031568,1.2612677920349997,0.28202805208213283,-1.1227354765947535,0.7636902006213282,0.1707663202339742,0.0,0,0.23248615006918233,0.3425138499308176,4.649723001383647,6.850276998616353,1.263620621873071,1.91054728780482,0.28886414507730457,0.46847275521842474,7.748754654719815,10.292303649083319,2.5163773549505875,3.6219273191125483,-1.457437464253343,-0.788033488936164,0.32785714285714285,0.12077221993689403,0.027005489357245036,0.27492638371694256,0.38078790199734314
gp_m52_pi,GP M52 + PI,0,0.3525,0.13999530067300942,0.031303900883537114,7.05,2.799906013460189,0.6260780176707422,2.2094630891815354,1.0111683996329472,0.22610412782789432,0.7036535487072457,0.9796169446686253,0.2190490080189696,10.412960757449493,2.1006618084914166,0.4697222601524451,3.9182659033551444,1.2857344465157845,0.2874989623422362,-1.5541595852012489,1.2738476661624027,0.28484099745185903,0.0,0,0.29114435426826724,0.4138556457317327,5.822887085365345,8.277112914634655,1.7662989986388626,2.6526271797242083,0.2743174929900653,1.132989604424426,9.4923051275507,11.333616387348286,3.3547679371643615,4.481763869545928,-2.1124479402068923,-0.9958712301956052,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_pi,GP M52 + PI,1,0.33999999999999997,0.12937094768634558,0.028928223334023784,6.8,2.587418953726911,0.5785644666804756,2.0833874890005992,0.786064964058954,0.17576946943667504,0.49289738572293124,0.3740863226318194,0.08364824468576663,10.355537107926423,2.112296680786993,0.47232389668868907,3.837442803049393,1.1545214410658695,0.25815884237043013,-1.3970946797389423,1.0942506273514059,0.2446818787179534,0.0,0,0.28330068226531335,0.3966993177346866,5.6660136453062675,7.933986354693732,1.7388793289047162,2.4278956490964823,0.32894682613882864,0.6568479453070338,9.429782270416593,11.281291945436253,3.33145147200335,4.343434134095436,-1.876671162026131,-0.9175181974517537,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_pi,GP M52 + PI,2,0.315,0.12041594578792295,0.02692582403567252,6.3,2.4083189157584592,0.5385164807134504,1.8386810175771333,0.7109877608817442,0.1589816964501946,0.38095539239266357,0.2121722867256064,0.047443165606003215,9.870856318726606,2.378061482290843,0.5317507129076237,3.4961112988502263,1.1454321559394312,0.25612641642947076,-1.2314195005216466,0.8899282134040097,0.19899399802663048,0.0,0,0.26222538489008185,0.36777461510991816,5.244507697801637,7.355492302198362,1.527076892534752,2.1502851426195146,0.28796678780489726,0.4739439969804299,8.828624921427664,10.913087716025547,2.9941035226484636,3.998119075051989,-1.6214477366538422,-0.8413912643894509,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_pi,GP M52 + PI,3,0.3125,0.1306612736087194,0.029216748981579582,6.25,2.6132254721743875,0.5843349796315916,1.7842534161177248,0.6650449442064176,0.14870857033381046,0.41029916389791976,0.24533682971259443,0.05485898286216513,9.64063334069401,2.3059564363881595,0.5156275344917094,3.3892395575862357,1.1186614681666396,0.25014030866303233,-1.1303920752873031,0.8653934475655672,0.1935078576039508,0.0,0,0.255235171996104,0.369764828003896,5.10470343992208,7.39529656007792,1.4927846182634563,2.0757222139719933,0.3027755574880761,0.5178227703077634,8.63000337309026,10.651263308297759,2.8989645526066923,3.879514562565779,-1.5096674761910467,-0.7511166743835596,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_pi,GP M52 + PI,4,0.315,0.13088765773505318,0.029267370011130497,6.3,2.617753154701063,0.58534740022261,1.6855979011415108,0.6289914279780947,0.14064675902236828,0.41230091250123274,0.2597553073322864,0.058083052471134204,9.581273921013652,2.196284484978338,0.4911041406339679,3.220408072209577,0.9906130940282445,0.22150782176485456,-1.1255547460409328,0.8456478892201348,0.1890926165325433,0.0,0,0.25763595477818424,0.37236404522181576,5.152719095563684,7.447280904436315,1.409930253457669,1.9612655488253525,0.2984581296578097,0.5261436953446558,8.618709805371076,10.54383803665623,2.786252741550462,3.6545634028686917,-1.4961762744447176,-0.7549332176371479,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_pi,GP M52 + PI,5,0.315,0.13288301146814105,0.02971354466976475,6.3,2.6576602293628206,0.5942708933952949,1.7718603248256855,0.7720787674072586,0.17264206079068792,0.418289174299292,0.35238725373233354,0.07879618537499643,9.644645783117772,2.187877614251915,0.48922430719173443,3.365154397580659,1.13074584634094,0.2528424577693874,-1.190882595206603,0.8266240745286509,0.18483876224839155,0.0,0,0.2567614524472611,0.3732385475527389,5.135229048945222,7.464770951054778,1.433481885675937,2.110238763975434,0.263848650964299,0.572729697634285,8.685766141021972,10.603525425213572,2.86958318035266,3.860725614808658,-1.5531665692134502,-0.8285986211997555,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
