split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
0,random,Random,0,40,0,40,35,20,1.0,8,0.4,2.7570340182322104,0.5819625602720491,10.793454842740768,4.575857418947553,-1.530093414037874,0
0,random,Random,1,40,5,45,30,20,1.0,10,0.5,4.0313996449166885,1.2716854719242896,10.856476588192956,5.913948218901584,-2.1059134470752316,0
0,random,Random,2,40,10,50,25,20,1.0,10,0.5,3.4294389049398264,1.22250087381871,10.856476588192956,5.276666805301824,-1.252217489228666,0
0,random,Random,3,40,15,55,20,20,1.0,9,0.45,3.411676223060353,0.4130556753099723,10.856476588192956,5.4633619270752565,-2.02036730304803,0
0,random,Random,4,40,20,60,15,20,1.0,9,0.45,3.430812482335631,0.4785691553651121,10.856476588192956,5.467212103402631,-2.0462096755764945,0
0,random,Random,5,40,25,65,10,20,1.0,9,0.45,3.431500653803289,0.5803764377512595,10.856476588192956,5.464999675422287,-2.0798452504629825,0
0,random,Random,6,40,30,70,5,20,1.0,9,0.45,3.185009219857478,0.5372159519296735,10.856476588192956,5.243980596489791,-3.0125391043694725,0
0,random,Random,7,40,35,75,0,20,1.0,9,0.45,3.019885038594489,0.6848348756712168,10.856476588192956,5.0870604882403745,-2.6260692272100212,0
0,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,8,0.4,2.7570340182322104,0.5819625602720491,10.793454842740768,4.575857418947553,-1.530093414037874,0
0,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,8,0.4,2.651334542550449,0.5128520014691293,10.793454842740768,4.508625891038607,-1.4869778181392228,0
0,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,7,0.35,2.2167870816402666,0.5325876762242991,10.793454842740768,4.033193478816129,-1.9660299163524289,0
0,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,7,0.35,2.1978275261469973,0.5091937173048233,10.793454842740768,4.030956198010536,-1.939794587716463,0
0,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,7,0.35,2.215643948533826,0.5185963208044617,10.793454842740768,4.034950866849395,-1.9259327392382184,0
0,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,10,0.5,3.600093869894863,1.183986534169212,10.856476588192956,5.431038799158505,-1.6666147317961555,0
0,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,9,0.45,2.8068669581048726,0.6396943527957006,10.856476588192956,4.724545148397495,-2.595798921115404,0
0,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,9,0.45,3.019885038594489,0.6848348756712168,10.856476588192956,5.0870604882403745,-2.6260692272100212,0
0,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,8,0.4,2.7570340182322104,0.5819625602720491,10.793454842740768,4.575857418947553,-1.530093414037874,0
0,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,8,0.4,2.765902311208468,0.5958262103270062,10.793454842740768,4.575133810096713,-1.5360892407658884,0
0,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,7,0.35,2.192516196911197,0.5201462564051385,10.793454842740768,4.032386623854587,-1.9481308572809777,0
0,gp_m52_ei,GP M52 + EI,3,40,15,55,20,20,1.0,6,0.3,2.1908927276669883,0.4349828723363815,10.793454842740768,4.029173061757632,-1.8860339009948064,0
0,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,7,0.35,2.215643948533826,0.5185963208044617,10.793454842740768,4.034950866849395,-1.9259327392382184,0
0,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,10,0.5,3.600093869894863,1.183986534169212,10.856476588192956,5.431038799158505,-1.6666147317961555,0
0,gp_m52_ei,GP M52 + EI,6,40,30,70,5,20,1.0,9,0.45,2.8344083072571253,0.7655672025459062,10.856476588192956,4.730250526351958,-2.6426304254982345,0
0,gp_m52_ei,GP M52 + EI,7,40,35,75,0,20,1.0,9,0.45,3.019885038594489,0.6848348756712168,10.856476588192956,5.0870604882403745,-2.6260692272100212,0
0,pi_random_exploration,GP M52 PI + Random Exploration,0,40,0,40,35,20,1.0,8,0.4,2.7570340182322104,0.5819625602720491,10.793454842740768,4.575857418947553,-1.530093414037874,0
0,pi_random_exploration,GP M52 PI + Random Exploration,1,40,5,45,30,20,1.0,8,0.4,2.710227838667526,0.6520198384436391,10.793454842740768,4.529699284882466,-1.5486198799780968,0
0,pi_random_exploration,GP M52 PI + Random Exploration,2,40,10,50,25,20,1.0,8,0.4,2.661408081100178,0.4766952253109435,10.793454842740768,4.528385621313244,-1.4366392228328058,0
0,pi_random_exploration,GP M52 PI + Random Exploration,3,40,15,55,20,20,1.0,8,0.4,2.6513085005336743,0.5360756806387714,10.793454842740768,4.528645404940718,-1.4080964206306723,0
0,pi_random_exploration,GP M52 PI + Random Exploration,4,40,20,60,15,20,1.0,7,0.35,2.617010537893431,0.4670576666047852,10.793454842740768,4.5182483223497,-1.4522810705478666,0
0,pi_random_exploration,GP M52 PI + Random Exploration,5,40,25,65,10,20,1.0,9,0.45,3.6265343718750382,0.5533978001364863,10.856476588192956,5.644433132737679,-2.4867739638752564,0
0,pi_random_exploration,GP M52 PI + Random Exploration,6,40,30,70,5,20,1.0,8,0.4,2.366453112205368,0.496833853117967,10.793454842740768,4.101120745040486,-2.1290566260708133,0
0,pi_random_exploration,GP M52 PI + Random Exploration,7,40,35,75,0,20,1.0,9,0.45,3.019885038594489,0.6848348756712168,10.856476588192956,5.0870604882403745,-2.6260692272100212,0
0,pi_uncertainty,PI + Uncertainty,0,40,0,40,35,20,1.0,8,0.4,2.7570340182322104,0.5819625602720491,10.793454842740768,4.575857418947553,-1.530093414037874,0
0,pi_uncertainty,PI + Uncertainty,1,40,5,45,30,20,1.0,8,0.4,2.5242381426242995,0.6070578019766675,10.793454842740768,4.337115662369137,-1.1850292583274236,0
0,pi_uncertainty,PI + Uncertainty,2,40,10,50,25,20,1.0,8,0.4,2.238688214406873,0.5338576253313727,10.793454842740768,4.039456989673219,-1.969510765630225,0
0,pi_uncertainty,PI + Uncertainty,3,40,15,55,20,20,1.0,8,0.4,3.1743747526380424,0.4704876572106462,10.856476588192956,5.243668853636911,-2.954302958918892,0
0,pi_uncertainty,PI + Uncertainty,4,40,20,60,15,20,1.0,8,0.4,3.1850085255312814,0.5441934120204506,10.856476588192956,5.245871606622434,-2.9414150255299267,0
0,pi_uncertainty,PI + Uncertainty,5,40,25,65,10,20,1.0,9,0.45,3.616526470970746,0.5478184717492578,10.856476588192956,5.61374173520088,-2.4963280433979307,0
0,pi_uncertainty,PI + Uncertainty,6,40,30,70,5,20,1.0,9,0.45,3.222194125353256,0.6680595019736675,10.856476588192956,5.129583221790309,-2.1304872100905268,0
0,pi_uncertainty,PI + Uncertainty,7,40,35,75,0,20,1.0,9,0.45,3.019885038594489,0.6848348756712168,10.856476588192956,5.0870604882403745,-2.6260692272100212,0
0,imperfection_aware,Imperfection-aware,0,40,0,40,35,20,1.0,8,0.4,2.7570340182322104,0.5819625602720491,10.793454842740768,4.575857418947553,-1.530093414037874,0
0,imperfection_aware,Imperfection-aware,1,40,5,45,30,20,1.0,9,0.45,3.641521582406805,0.5788653055654827,10.856476588192956,5.6679894652247995,-2.477158902728392,0
0,imperfection_aware,Imperfection-aware,2,40,10,50,25,20,1.0,9,0.45,3.252685228855891,0.6679041589679517,10.856476588192956,5.282992437429749,-2.946026132305038,0
0,imperfection_aware,Imperfection-aware,3,40,15,55,20,20,1.0,9,0.45,3.702593958390693,0.6121735517073184,10.856476588192956,5.765714041022261,-3.500488186186785,0
0,imperfection_aware,Imperfection-aware,4,40,20,60,15,20,1.0,9,0.45,3.3092350186762216,0.734143195743453,10.856476588192956,5.300076518869534,-3.0993193332955693,0
0,imperfection_aware,Imperfection-aware,5,40,25,65,10,20,1.0,9,0.45,3.239146110554684,0.7152905513427834,10.856476588192956,5.253167921506631,-3.03151375701101,0
0,imperfection_aware,Imperfection-aware,6,40,30,70,5,20,1.0,9,0.45,2.6140100167232623,0.8130079211987793,10.856476588192956,4.545804688366423,-2.220137973785755,1
0,imperfection_aware,Imperfection-aware,7,40,35,75,0,20,1.0,9,0.45,3.019885038594489,0.6848348756712168,10.856476588192956,5.0870604882403745,-2.6260692272100212,2
1,random,Random,0,40,0,40,35,20,1.0,6,0.3,2.012457813578753,0.2112992904599515,10.856476588192956,3.811474245685565,-1.3486817591026523,0
1,random,Random,1,40,5,45,30,20,1.0,7,0.35,2.0301110282265946,0.3973359209426883,10.856476588192956,3.7903836296875792,-1.4238711132459738,0
1,random,Random,2,40,10,50,25,20,1.0,6,0.3,1.6031979308776596,0.1710581074362611,10.856476588192956,3.2682961866384344,-0.8113948997498388,0
1,random,Random,3,40,15,55,20,20,1.0,7,0.35,2.0496964794263315,0.1611757351878857,10.856476588192956,3.825220239042842,-1.2391401864091491,0
1,random,Random,4,40,20,60,15,20,1.0,7,0.35,1.8110764280036569,0.2011122423197573,10.856476588192956,3.53790902340646,-0.7936128284076815,0
