split_seed,split_role,position,experiment_id
18,initial_train,0,Q003
18,initial_train,1,Q004
18,initial_train,2,Q005
18,initial_train,3,Q007
18,initial_train,4,Q008
18,initial_train,5,Q009
18,initial_train,6,Q013
18,initial_train,7,Q015
18,initial_train,8,Q016
18,initial_train,9,Q017
18,initial_train,10,Q023
18,initial_train,11,Q028
18,initial_train,12,Q029
18,initial_train,13,Q030
18,initial_train,14,Q037
18,initial_train,15,Q047
18,initial_train,16,Q049
18,initial_train,17,Q050
18,initial_train,18,Q052
18,initial_train,19,Q055
18,initial_train,20,Q057
18,initial_train,21,Q058
18,initial_train,22,Q060
18,initial_train,23,Q061
18,initial_train,24,Q064
18,initial_train,25,Q065
18,initial_train,26,Q066
18,initial_train,27,Q073
18,initial_train,28,Q074
18,initial_train,29,Q075
18,initial_train,30,Q076
18,initial_train,31,Q077
18,initial_train,32,Q083
18,initial_train,33,Q085
18,initial_train,34,Q086
18,initial_train,35,Q090
18,initial_train,36,Q091
18,initial_train,37,Q092
18,initial_train,38,Q094
18,initial_train,39,Q095
18,acquisition_pool,0,Q001
18,acquisition_pool,1,Q002
18,acquisition_pool,2,Q006
18,acquisition_pool,3,Q011
18,acquisition_pool,4,Q012
18,acquisition_pool,5,Q014
18,acquisition_pool,6,Q018
18,acquisition_pool,7,Q019
18,acquisition_pool,8,Q020
18,acquisition_pool,9,Q022
18,acquisition_pool,10,Q024
18,acquisition_pool,11,Q025
18,acquisition_pool,12,Q026
18,acquisition_pool,13,Q027
18,acquisition_pool,14,Q031
18,acquisition_pool,15,Q033
18,acquisition_pool,16,Q035
18,acquisition_pool,17,Q041
18,acquisition_pool,18,Q042
18,acquisition_pool,19,Q045
18,acquisition_pool,20,Q048
18,acquisition_pool,21,Q051
18,acquisition_pool,22,Q053
18,acquisition_pool,23,Q054
18,acquisition_pool,24,Q056
18,acquisition_pool,25,Q059
18,acquisition_pool,26,Q067
18,acquisition_pool,27,Q068
18,acquisition_pool,28,Q069
18,acquisition_pool,29,Q071
18,acquisition_pool,30,Q072
18,acquisition_pool,31,Q080
18,acquisition_pool,32,Q087
18,acquisition_pool,33,Q089
18,acquisition_pool,34,Q093
18,test,0,Q010
18,test,1,Q021
18,test,2,Q032
18,test,3,Q034
18,test,4,Q036
18,test,5,Q038
18,test,6,Q039
18,test,7,Q040
18,test,8,Q043
18,test,9,Q044
18,test,10,Q046
18,test,11,Q062
18,test,12,Q063
18,test,13,Q070
18,test,14,Q078
18,test,15,Q079
18,test,16,Q081
18,test,17,Q082
18,test,18,Q084
18,test,19,Q088
